time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
"2017-04-22T17:26:16.560Z,-4.1959,140.1519,26.01,4.4,mb,,165,7.989,1.07,us,us10008jt0,2017-04-22T18:27:04.040Z,""179km SSW of Abepura, Indonesia"",earthquake,7,6.6,0.12,22,reviewed,us,us"
"2017-04-22T15:18:04.330Z,17.8828,-65.6345,12,2.57,md,4,284,25.246,0.03,pr,pr2017112012,2017-04-22T21:42:22.269Z,""28km SE of El Negro, Puerto Rico"",earthquake,0.79,0.47,0.02,2,reviewed,pr,pr"
"2017-04-22T14:54:52.020Z,36.6974,-97.6742,4.14,3.4,mb_lg,,50,0.214,0.11,us,us10008js4,2017-04-23T12:35:56.166Z,""13km SSE of Medford, Oklahoma"",earthquake,1.2,4.2,0.048,114,reviewed,us,us"
"2017-04-22T14:47:22.680Z,36.6988,-97.6734,5,2.7,mb_lg,,50,0.213,0.14,us,us10008jrz,2017-04-23T12:41:41.568Z,""13km SSE of Medford, Oklahoma"",earthquake,1,1.9,0.08,41,reviewed,us,us"
"2017-04-22T14:23:01.462Z,60.3017,-151.2858,45.9,2.6,ml,,,,0.67,ak,ak15798262,2017-04-22T14:29:39.462Z,""7km S of Cohoe, Alaska"",earthquake,,1.4,,,automatic,ak,ak"
"2017-04-22T11:54:01.820Z,18.4341,-66.3373,106,3.14,md,13,180,0.2829,0.22,pr,pr2017112009,2017-04-23T02:25:53.373Z,""1km SE of Ceiba, Puerto Rico"",earthquake,1.94,0.98,0.08,9,reviewed,pr,pr"
"2017-04-22T10:25:05.670Z,18.823,-155.2671661,11.58,2.63,ml,52,266,0.3747,0.29,hv,hv61708946,2017-04-22T10:30:46.470Z,""47km SSE of Pahala, Hawaii"",earthquake,1.58,1.96,0.65,8,automatic,hv,hv"
"2017-04-22T09:39:09.270Z,-5.3996,152.2923,35,4.7,mb,,110,1.207,0.6,us,us10008jra,2017-04-22T10:24:57.040Z,""115km S of Kokopo, Papua New Guinea"",earthquake,7.3,1.9,0.07,61,reviewed,us,us"
"2017-04-22T08:55:43.410Z,19.1998329,-155.4118347,33.76,2.49,md,50,163,0.03985,0.15,hv,hv61708736,2017-04-22T08:58:56.450Z,""7km E of Pahala, Hawaii"",earthquake,0.52,0.62,0.12,22,automatic,hv,hv"
"2017-04-22T08:13:48.742Z,62.1465,-149.8678,44.2,2.9,ml,,,,0.79,ak,ak15798088,2017-04-22T20:09:58.711Z,""5km WSW of Y, Alaska"",earthquake,,0.3,,,reviewed,ak,ak"
"2017-04-22T07:12:49.990Z,-22.1099,-68.7169,124.35,4.5,mb,,32,0.531,0.73,us,us10008jqs,2017-04-22T07:27:56.040Z,""45km NNE of Calama, Chile"",earthquake,3.7,7.2,0.156,12,reviewed,us,us"
"2017-04-22T06:39:41.390Z,19.1025,-64.7895,33,3.29,md,6,298,102.9,0.27,pr,pr2017112007,2017-04-23T06:37:54.040Z,""74km NNW of Road Town, British Virgin Islands"",earthquake,4.23,18.48,0.1,5,reviewed,pr,pr"
"2017-04-22T05:16:41.910Z,19.2031,-66.5576,35,3.09,md,12,269,79.92,0.28,pr,pr2017112003,2017-04-23T06:40:14.040Z,""83km NNE of Arecibo, Puerto Rico"",earthquake,1.59,8.57,0.11,9,reviewed,pr,pr"
"2017-04-22T04:01:41.660Z,37.2455,-109.5683333,8.78,3.75,ml,11,167,0.8546,0.14,uu,uu60194762,2017-04-22T23:47:23.347Z,""31km S of Blanding, Utah"",earthquake,0.86,1.34,0.063,7,reviewed,uu,uu"
"2017-04-22T02:35:15.620Z,-19.2276,-176.4871,76.12,4.5,mb,,123,5.387,0.7,us,us10008jqc,2017-04-22T03:46:30.040Z,""233km WNW of Pangai, Tonga"",earthquake,5.5,6.7,0.092,35,reviewed,us,us"
"2017-04-22T02:09:50.020Z,18.6256,-64.2123,59,2.91,md,5,344,122.81,0.29,pr,pr2017112001,2017-04-22T15:02:55.707Z,""48km ENE of Road Town, British Virgin Islands"",earthquake,9.49,4.26,0.42,4,reviewed,pr,pr"
"2017-04-22T00:59:37.030Z,60.2699,-150.785,33.5,2.7,ml,,,,0.86,ak,ak15797409,2017-04-23T00:38:29.040Z,""28km SSE of Soldotna, Alaska"",earthquake,,0.5,,,automatic,ak,ak"
"2017-04-22T00:02:20.720Z,32.4371667,-115.5366667,4.32,2.68,ml,22,125,0.1967,0.35,ci,ci37863424,2017-04-23T09:22:49.409Z,""16km SSE of Progreso, B.C., MX"",earthquake,0.96,3.85,0.199,26,automatic,ci,ci"
"2017-04-21T22:50:14.530Z,-8.327,119.7472,189.11,4.3,mb,,68,2.482,1,us,us10008jp1,2017-04-21T23:07:22.040Z,""23km NW of Cempa, Indonesia"",earthquake,7.4,9.2,0.129,17,reviewed,us,us"
